title,short_description,page
Ty Cobb,Safe At Home,224
"42: A Biography of Jack ""Jackie"" Robinson",,65
Building a Winning Basketball Program,,124
The Ty Cobb & Tris Speaker Game Fixing Scandal,,23
Still a Kid at Heart,My Life in Baseball and Beyond,256
Starting and Closing (Enhanced Edition),"Perseverance, Faith, and One More Year",304
50 Years of Atlanta Braves Trivia,The iPad Experience,119
"Bulls, Bears, & Basketball",Financial Planning for College Hoops Fans,264
Still Pitching,Musings from the Mound and the Microphone,224
50*,My Baseball Odyssey,200
Bummy and the Coach,,430
Still Throwing Heat,"Strikeouts, the Streets, and a Second Chance",256
Squeeze Play,A Novel,400
Wrigley Hits 100,"A Daily Celebration of the Cubbies, Chicagoland, and the Best Baseball Field in America",200
501 Baseball Books Fans Must Read Before They Die,,419
Buy a Game,Dre Baldwin's Basketball Story from its Beginnings Through College,98
Stolen Season,A Journey Through America and Baseball's Minor Leagues,403
51 Questions for the Diehard Fan,Baltimore Orioles,21
Buzzerbeater Online - Ausgabe 06/13,,46
Straight Talk from the Wild Thing,,240
"Sports: Fact, Fiction & Fun",,194
Wrigley Field Year by Year,A Century at the Friendly Confines,384
51 Questions for the Diehard Fan: Atlanta Braves,,20
BYU Sports: Outside of the Game,,30
Strangers in the Bronx,"DiMaggio, Mantle, and the Changing of the Yankee Guard",304
51 Questions for the Diehard Fan: Baltimore Orioles,,55
Streak,Joe DiMaggio and the Summer of '41,285
Sports Dad,Life Through Sports,40
Wrigley Blues,The Year the Cubs Played Hardball with the Curse (But Lost Anyway),300
Spoke,A Biography of Tris Speaker,384
51 Questions for the Diehard Fan: Boston Red Sox,,28
Strike Zone,,164
"World of Little League??, The",,96
51 Questions for the Diehard Fan: Los Angeles Dodgers,,46
Summer of '49,The Yankees and the Red Sox in Postwar America,384
Split Season: 1981,"Fernandomania, the Bronx Zoo, and the Strike that Saved Baseball",250
Won in the Ninth,,291
Speak English!,The Rise of Latinos in Baseball,188
51 Questions for the Diehard Fan: New York Mets,,11
Summers at Shea,Tom Seaver Loses His Overcoat and Other Mets Stories,272
Wire to Wire,Inside the 1984 Detroit Tigers Championship Season,192
51 Questions for the Diehard Fan: New York Yankees,,29
Sunday At the Ballpark,"Billy Sunday's Professional Baseball Career, 1883-1890",212
Spalding's World Tour,The Epic Adventure that Took Baseball Around the Globe - And Made it America's Game,320
Winning on the North Side: The 1929 Chicago Cubs,,780
Spalding's Baseball Guide and Official League Book for 1895,,358
51 Questions for the Diehard Fan: Philadelphia Phillies,,12
Super Smashmouth Baseball,,6
Winners,How Good Baseball Teams Become Great Ones (And It's Not the Way You Think),256
51 Questions for the Diehard Fan: San Francisco Giants,,32
Survival Guide for Coaching Youth Baseball,,176
Sox and the City,A Fan's Love Affair with the White Sox from the Heartbreak of '67 to the Wizards of Oz: Updated Edition,240
Willie Wells,"""El Diablo"" of the Negro Leagues",208
Sotterranei Americani,,109
56: Joe DiMaggio and the Last Magic Number in Sports,,368
Sweaty Mascots start Grease Fires,,290
Willie Keeler,From the Playgrounds of Brooklyn to the Hall of Fame,374
7,The Mickey Mantle Novel,0
Sweet '60: The 1960 Pittsburgh Pirates,,340
Some Were Giants,,140
Wild Cards,The St. Louis Cardinals' Stunning 2011 Championship Season: Special Commemorative Book,128
Sol White's Official Base Ball Guide,,176
715,Reflections on Hammerin' Hank and the Home Run That Made History,208
Sweet Spot,125 Years of Baseball and the Louisville Slugger,176
So You Think You Know Baseball?: A Fan's Guide to the Official Rules,,384
9 in 9: Nine Life Lessons Learned from Playing Nine Positions in One Nine Inning Baseball Game,,128
Sweet ??60: The 1960 Pittsburgh Pirates,,893
Three Nights in August,"Strategy, Heartbreak, and Joy Inside the Mind of a Manager",304
Wichita State Baseball Comes Back,Gene Stephenson and the Making of a Shocker Championship Tradition,144
So So in Centerfield,Baseball Quotations Honoring the Game's Hallowed Traditions,75
90% of the Game Is Half Mental,And Other Tales from the Edge of Baseball Fandom,192
Swinging for the Fences: How American Legion Baseball Transformed a Group of Boys into a Team of Men,,272
Why You Can't Clone Koufax,,63
This Side of Cooperstown,An Oral History of Major League Baseball in the 1950s,288
Why We Love Them: An Homage to the World Champion San Francisco Giants,,10
Why I Love Baseball,,148
Smoky Joe Wood,,434
Basketball's Main Ingredients Part II,,56
99 Lessons of a Baseball Road Trip,(Picture Version),0
Smokey Joe,A Baseball Fable,244
Basketball Suggestions,Volume III,44
????It Was Fun'',Some Thoughts for Parents On Youth Sports,71
This Is Our Time!,The 2010 World Series Champions San Francisco Giants. The Inside Story: Improbable. Wild. Unforgettable.,128
White Sox Glory,"For the Love of Nellie, Shoeless Joe, and Konerko",256
Smart Baseball,How Professionals Play the Mental Game,250
Slugging It Out in Japan,An American Major Leaguer in the Tokyo Outfield,385
"Slouching Toward Fargo: A Two-Year Saga of Sinners and St. Paul Saints at the Bottom of the Bush Leagues with Bill Murray, Darryl Strawberry, Dakota Sadie and Me",,384
This Date in Philadelphia Phillies History,A Day-by-Day Listing of Events,408
Who's on Worst?,"The Lousiest Players, Biggest Cheaters, Saddest Goats and Other Antiheroes in Baseball History",272
"Slide, Kelly, Slide",The Wild Life and Times of Mike King Kelly,244
Basketball Primer: Everything You Need to Know About the Game,,48
Wherever I Wind Up,"My Quest for Truth, Authenticity, and the Perfect Knuckleball",368
Where's the Play? ,"Boys, Baseball, and the Power of America's Favorite Pastime",180
Slider,,416
They're Back,Why the 2013 Blue Jays Might Win It All,108
Where's Harry?,Steve Stone Remembers 25 Years with Harry Caray,256
Sleeper Cars and Flannel Uniforms,A Lifetime of Memories from Striking Out the Babe to Teeing It up with the President,224
"Basketball Plays, Tricks And Gimmicks",,184
"Sixty Feet, Six Inches",A Hall of Fame Pitcher & a Hall of Fame Hitter Talk about How the Game is Played,288
Six Good Innings,,256
Where Have All Our Cubs Gone?,,288
They Call Me Oil Can,"Baseball, Drugs, and Life on the Edge",240
When We Were Champs,The Toronto Blue Jays Remember Their 1993 World Series Title,77
Six Decades Of Baseball,A Personal Narrative,395
Basketball Officiating Mechanics Illustrated,2 and 3 Person High School Crews,208
"When the Yankees Were on the Fritz: Revisiting the ""Horace Clark Era""",,350
TheFantasyFix.com's 2013 Fantasy Baseball Draft Guide,,216
When the Red Sox Ruled,"Baseball's First Dynasty, 1912-1918",240
Basketball Mom's Survival Guide,How You and Your Basketball Player Can Come out on Top,84
100 Things Royals Fans Should Know & Do Before They Die,100 Things...Fans Should Know,288
Siamo stati giovani insieme,,93
Full Court Conflict,,103
When the Giants Were Giants,Bill Terry and the Golden Age of New York Baseball,352
Texas Rangers: An Interactive Guide to the World of Sports,,127
Shortstop or Bust!,The Traveling Tales of Youth Baseball,132
The Texas League Baseball Almanac,,224
Full Court,Stories and Poems for Hoop Fans,304
When the Game Changed,An Oral History of Baseball's True Golden Age: 1969-1979,336
Basketball Just for You,,194
From Six-on-Six to Full Court Press,A Century of Iowa Girls?? Basketball,244
Shortened Seasons,The Untimely Deaths of Major League Baseball's Stars and Journeymen,240
100 Things Red Sox Fans Should Know & Do Before They Die,Revised and Updated,256
Situation Baseball,Basics of Knowing What to Do With the Ball,166
When the Babe Came to Town: Stories of George Herman Ruth's Small-Town Baseball Games,,23
Texas Baseball,A Lone Star Diamond History from Town Teams to the Big Leagues (The History Press),192
Shibe Park - Connie Mack Stadium,,128
From Peach Baskets to Dance Halls and the Not-so-Stern NBA,"Sports: The Business and Politics of Sports, no. 2",272
Basketball History in Syracuse,Hoops Roots,192
From Cape Cod to Canada:,The Journey of a Basketball Coach,108
When Chicago Ruled Baseball,The Cubs-White Sox World Series of 1906,240
100 Things Pirates Fans Should Know & Do Before They Die,100 Things...Fans Should Know,304
Ten-Cent Beer Night and the 1974 Baseball Season,,80
Ted Williams: A Baseball Life,,400
Autumns in the Garden,The Coach of Camelot and Other Knicks Stories,288
Shane Victorino,The Flyin' Hawiian,256
Sex and Baseball,,15
When Baseball Went to War,,256
Basketball Game Intelligence,The Difference Maker In Officiating,104
From Behind The Bench,Inside the basketball scandal that rocked St. Bonaventure,204
"Ted Williams, My Father",A Memoir,320
What It Means to Be a Cub,The North Side's Greatest Players Talk About Cubs Baseball,192
Basketball Fundamentals,A Complete Mental Training Guide,185
September Nights,Hunting the Beasts of the American League East,144
100 Things Mariners Fans Should Know & Do Before They Die,100 Things...Fans Should Know,320
At the Hang-Up,"Seeking Your Purpose, Running the Race, Finishing Strong",272
Four Four Jew,"Football, Fans and Faith",48
Ted Williams and Friends,1960-2002,128
What Do You Think of Ted Williams Now?,A Remembrance,128
"Basketball for Women, Second Edition",,272
Everything You Wanted to Know About the New York Knicks,A Who's Who of Everyone Who Ever Played On or Coached the NBA's Most Celebrated Team,328
Seeing Home: The Ed Lucas Story,A Blind Broadcaster's Story of Overcoming Life's Greatest Obstacles,288
Forgotten Sons vol.2 - altre storie di basket da non dimenticare,,221
What Baseball Means to Me,A Celebration of Our National Pastime,288
Ted Williams,The Biography of an American Hero,560
Aspectos te??ricos y pr??cticos de la iniciaci??n al baloncesto,,136
Seasons in Hell,"With Billy Martin, Whitey Herzog and ""The Worst Baseball Team in History""??the 1973-1975 Texas Rangers",302
100 Things Giants Fans Should Know & Do Before They Die,100 Things...Fans Should Know,240
Basketball For Dummies,,432
The Team That Forever Changed Baseball and America,The 1947 Brooklyn Dodgers,394
Forgotten Sons - Storie di basket da non dimenticare,,75
Urban Shocker All-Stars: The 100 Greatest Baseball Names Ever,,130
WestSide Culture's Unofficial Guide to Spring Training,,31
Basketball Defensive Secrets Revealed!,First Edition,16
Forever's Team,,375
Westminster Baseball 2015,,27
The Team That Changed Baseball,Roberto Clemente and the 1971 Pittsburgh Pirates,239
European Basketball Championship Results,Since 1935,262
Uppity,My Untold Story About The Games People Play,320
Andrew Wiggins Signature Workout Program,,25
Basketball Defense: Lessons from the Legends,,276
For the Love of Basketball,For the Love of... - From A-Z,44
Season Three: 2011,Bleacher Creatures. tv,158
Westminster Baseball 2014,,23
Tampa Bay Rays IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,108
Season Ticket,,419
Scooter,The Biography of Phil Rizzuto,224
Upon Further Review,Controversy In Sports Officiating,258
Tales from the Toronto Blue Jays Dugout,A Collection of the Greatest Blue Jays Stories Ever Told,224
Basketball Coaching,Putting Theory Into Practice,256
El entrenador y el equipo,Aprendiendo a ser un buen entrenador de formaci??n,220
We Got to Play Baseball,60 Stories from Men Who Played the Game,248
Flex Offense,,5
"Up, Up, and Away","The Kid, the Hawk, Rock, Vladi, Pedro, le Grand Orange, Youppi!, the Crazy Business of Baseball, and the Ill-fated but Unforgettable Montreal Expos",432
100 Things Braves Fans Should Know & Do Before They Die,,256
Basketball Beyond the X's and O's: Lessons from the Legends,,308
Scandal on the South Side: The 1919 Chicago White Sox,,722
Enlightenment Through the Art of Basketball: How to Play Basketball Better & Winning by Beating Yourself,,33
Amare Stoudemire Signature Workout Program,,30
Fixed,How Goodfellas Bought Boston College Basketball,272
Tales from the Seattle Mariners Dugout,A Collection of the Greatest Mariners Stories Ever Told,192
Unfinished Odyssey,The Life and Legend of Harry Agganis,296
Say It's So,The Chicago White Sox's Magical Season,288
Basketball and Philosophy,Thinking Outside the Paint,304
Elgin Baylor,The Man Who Changed Basketball,292
Watching Baseball Smarter,"A Professional Fan's Guide for Beginners, Semi-experts, and Deeply Serious Geeks",272
Watching Baseball,Discovering The Game Within The Game,424
Tales from the Los Angeles Dodgers Dugout,A Collection of the Greatest Dodgers Stories Ever Told,208
Understanding Fantasy Baseball: No Longer Just for Nerds,,122
Basketball and Life,"A Collection of Sing-Song Poetry Based On Growing Up In Brownsville, Brooklyn and a Six-Decades Career As Official Scorer In the ABA & NBA, Including Works On Such Players As Julius Dr. J Erving, Shaquille ONeal and Michael Jordan",92
Five-Point Play,Duke's Journey to the 2001 National Championship,256
