Book#,title,short_description,page
143,100 Things Oklahoma Fans Should Know and Do Before They Die,,240
144,100 Things Oregon Fans Should Know & Do Before They Die,100 Things...Fans Should Know,288
145,100 Things Orioles Fans Should Know & Do Before They Die,100 Things...Fans Should Know,352
146,100 Things Packers Fans Should Know & Do Before They Die,,256
147,100 Things Packers Fans Should Know & Do Before They Die,,288
148,100 Things Panthers Fans Should Know & Do Before They Die,100 Things...Fans Should Know,224
149,100 Things Patriots Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
150,100 Things Penguins Fans Should Know & Do Before They Die,,256
151,100 Things Penn State Fans Should Know & Do Before They Die,100 Things...Fans Should Know,368
152,100 Things Phillies Fans Should Know & Do Before They Die,,256
153,100 Things Pirates Fans Should Know & Do Before They Die,100 Things...Fans Should Know,304
154,100 Things Raiders Fans Should Know & Do Before They Die,,304
155,100 Things Rangers Fans Should Know & Do Before They Die,,256
156,100 Things Rangers Fans Should Know & Do Before They Die,,368
157,100 Things Raptors Fans Should Know & Do Before They Die,100 Things...Fans Should Know,0
158,100 Things Ravens Fans Should Know & Do Before They Die,,288
159,100 Things Red Sox Fans Should Know & Do Before They Die,Revised and Updated,256
160,100 Things Red Wings Fans Should Know & Do Before They Die,,320
161,100 Things Reds Fans Should Know & Do Before They Die,,288
162,100 Things Redskins Fans Should Know & Do Before They Die,,304
163,100 Things Rockies Fans Should Know & Do Before They Die,,256
164,100 Things Royals Fans Should Know & Do Before They Die,100 Things...Fans Should Know,288
165,100 Things Sabres Fans Should Know & Do Before They Die,,256
166,100 Things Seahawks Fans Should Know & Do Before They Die,,320
167,100 Things Seahawks Fans Should Know & Do Before They Die,,352
168,100 Things South Carolina Fans Should Know & Do Before They Die,100 Things...Fans Should Know,224
169,100 Things Steelers Fans Should Know & Do Before They Die,,272
170,100 Things Steelers Fans Should Know & Do Before They Die,,274
171,100 Things Syracuse Fans Should Know & Do Before They Die,100 Things...Fans Should Know,336
172,100 Things Tennessee Fans Should Know & Do Before They Die,100 Things...Fans Should Know,304
173,100 Things Texas A&M Fans Should Know & Do Before They Die,100 Things...Fans Should Know,320
174,100 Things Tigers Fans Should Know & Do Before They Die,,208
175,100 Things Tigers Fans Should Know & Do Before They Die,,240
176,100 Things Twins Fans Should Know & Do Before They Die,100 Things...Fans Should Know,288
177,100 Things Utes Fans Should Know & Do Before They Die,,272
178,100 Things White Sox Fans Should Know & Do Before They Die,100 Things...Fans Should Know,304
179,100 Things Wildcats Fans Should Know & Do Before They Die,100 Things...Fans Should Know,272
180,100 Things Yankees Fans Should Know & Do Before They Die,,256
181,100 Things Yellow Jackets Fans Should Know & Do Before They Die,100 Things...Fans Should Know,272
182,100 Walks in Lancashire,,192
183,100 WALKS IN WARWICKSHIRE & WEST MIDLANDS,,192
184,100 Walks in Yorkshire,West Riding and the Dales,192
185,100 Yards of Glory,The Greatest Moments in NFL History,352
186,100 Yards of Success,Leadership Lessons from College Football,212
187,100 Years of Ole Miss Football Trivia,The iPad Experience,105
188,100 Years of the Isle of Man TT,A Century of Motorcycle Racing - Updated Edition covering 2007 - 2012,288
189,100 Years of Vanderbilt Football Trivia,The iPad Experience,133
190,100 Years of Who's Who in Baseball,,216
191,100% Unofficial! Manchester United Annual 2013,,180
192,100% Unofficial! Tottenham Hotspur Annual 2013 - Come On You Spurs,,100
193,1001 Basketball Trivia Questions,,144
194,1001 Best Things Ever Said About Horses,,400
195,1001 Fishing Tips,The Ultimate Guide to Finding and Catching More and Bigger Fish,384
196,1001 Hunting Tips,"The Ultimate Guide to Successfully Taking Deer, Big and Small Game, Upland Birds, and Waterfowl",400
197,1001 Nights in Iraq,The Shocking Story of an American Forced to Fight for Saddam Against the Country He Loves,304
198,100-Yard War,Inside the 100-Year-Old Michigan-Ohio State Football Rivalry,290
199,101 3-4 Defense Drills,,124
200,101 3-4 Stunts,,138
201,101 3-5 Stunts,,166
202,101 4-3 Stunts,,131
203,101 4-4 Defensive Stunts and Drills for Youth Football,,2009
204,101 Aceback Bunch Plays,,172
205,101 Ageing Quotes,,103
206,101 Agility Drills,,150
207,101 Air Raid Plays,,125
208,101 Amazing David Beckham Facts,,19
209,101 Amazing David Haye Facts,,22
210,101 Amazing Facts about Horses,,27
211,101 Amazing Facts about Wimbledon,,24
212,101 Amazing Jessica Ennis Facts,,20
213,101 Amazing Lewis Hamilton Facts,,19
214,101 Arena Exercises for Horse & Rider,,0
215,101 Baseball Places to See Before You Strike Out,,256
216,101 Basketball Out-of-Bounds Drills,,120
217,101 Basketball Rebounding Drills,,84
218,101 Bass Fishing Tips,Twenty-First Century Bassing Tactics and Techniques from All the Top Pros,240
219,101 Bear 4-6 Stunts,,145
220,101 Body-Sculpting Workouts & Nutrition Plans: For Women,,176
221,101 Catching Drills,,222
222,101 Championship Baseball Drills,,120
223,101 Concepts For a Successful Football Program,,174
224,101 Concepts for Effective Football Practice,,186
225,101 Conditioning Games and Drills for Athletes,,134
226,101 Cricket Quotes,,103
227,101 Cromos da Bola,,210
228,101 Damnations,Dispatches from the 101st Tour de France,288
229,101 Defensive and Conditioning Water Polo Drills,,148
230,101 Defensive Back Drills (Second Edition),,121
231,101 Defensive Baseball Drills,,124
232,101 Defensive Basketball Drills,,124
233,101 Defensive Football Drills Vol. 1: Individual Skills,,124
234,101 Defensive Football Drills Vol. 2: Run Defense Drills,,124
235,101 Defensive Football Drills Vol. 3: Pass Defense Drills,,124
236,101 Defensive Line Drills,,117
237,101 Defensive Stunts for Youth Football,,118
238,101 Delaware Wing-T Plays,,120
239,101 Diamond Formation Running Plays,,160
240,"101 Dinge, die ein Bergsteiger wissen muss","Handbuch Alpinismus: 101 Dinge, die ein Bergsteiger wissen muss. Das ideale Lehrbuch zum Bergsteigen und zur Technik f??r Alpinisten. Mit Infos zu Ausr??stung und richtigem Verhalten am Berg",192
241,101 Dog Quotes,,103
242,101 Double Eagle Flex Stunts,,182
243,101 Double-Wing Offense Plays,,122
244,101 Dressage Exercises for Horse & Rider,,0
245,101 Drill Team Exercises for Horse & Rider,"Including 3-Loop Surpentine, Cinnamon Swirl, Carousel Pairs, Thread the Needle, & 97 more",240
246,101 Drills to Improve Your Golf Game,,116
247,101 Dropback Pass Patterns,,128
248,101 Fat-Burning Workouts & Diet Strategies For Men,"Everything You Need to Get a Lean, Strong and Fit Physique",176
249,101 Fat-Burning Workouts & Diet Strategies For Women,,176
250,101 Favorite Dry Flies,"History, Tying Tips, and Fishing Strategies",176
251,101 Favorite Nymphs and Wet Flies,"History, Tying Tips, and Fishing Strategies",224
252,101 Favorite Saltwater Flies,"History, Tying Tips, and Fishing Strategies",224
253,101 Fire Zone Blitzes,,141
254,101 Friendship Quotes,,103
255,101 Fundamentals for Developing Football Speed,,141
256,101 Games and Activities for Canoes and Kayaks,,146
257,101 Get-Lean Workouts and Strategies,,176
258,101 Get-Lean Workouts and Strategies for Women,,176
259,101 gol che hanno cambiato la storia del calcio italiano,,346
260,101 gol che hanno fatto grande il Milan,,288
261,101 gol che hanno fatto grande il Torino,,288
262,101 gol che hanno fatto grande la Juventus,,256
263,101 gol che hanno fatto grande la Roma,,238
264,101 gol che hanno fatto grande l'Inter,,288
265,101 Great Youth Soccer Drills,Skills and Drills for Better Fundamental Play,160
266,101 Great Youth Soccer Drills : Skills and Drills for Better Fundamental Play,,160
267,101 Ground Training Exercises for Every Horse & Handler,,256
268,101 High Jump Drills (Revised Edition),,125
269,101 High-Intensity Workouts for Fast Results,,176
270,101 Hikes in Northern California,"Exploring Mountains, Valley, and Seashore",336
271,101 Hikes in Southern California,"Exploring Mountains, Seashore, and Desert",288
272,101 Hikes in Southern California,"Exploring Mountains, Seashore, and Desert",284
273,101 Horsemanship & Equitation Patterns,A Western & English Ringside Guide for Practice & Show,0
274,101 I Back Running Plays,,129
275,101 Interesting Facts on Everton,Learn About the Boys From Goodison Park,131
276,101 Interesting Facts on Southend United,Learn About the Boys From Roots Hall,41
277,101 Interesting Facts on the History of Horse Racing,,89
278,101 Jumping Exercises for Horse & Rider,,0
279,101 Kicking and Punting Drills,,124
280,101 Knife Designs,Practical Knives for Daily Use,208
281,101 Lawyer Jokes,,103
282,101 Leadership Lessons from Baseball??s Greatest Managers,,196
283,101 Love Quotes,,103
284,101 motivi per odiare il Milan e tifare l...,,288
285,101 motivi per odiare la Juventus e tifar...,,336
286,101 motivi per odiare la Lazio e tifare l...,,240
287,101 motivi per odiare l'Inter e tifare il...,,240
288,101 Muscle-Building Workouts & Nutrition Plans,,176
289,101 Muscle-Shaping Workouts & Strategies for Women,,176
290,101 No-Huddle Spread Offense Drills,,117
291,101 No-Huddle Spread Offense Plays,,202
292,101 Offensive Basketball Drills,,120
293,101 Offensive Line Drills (Second Edition),,122
294,101 Offensive Line Drills for the Zone Offense (Second Edition),,147
295,101 Offensive Softball Drills,,134
296,101 Offensive Water Polo Drills,,140
297,101 Olympic Quotes,,103
298,101 Pistol Option Plays,,131
299,101 Pistol Run Plays,,133
300,101 Pitching Drills (Second Edition),,170
301,101 Pole Vaulting Tips and Drills,,170
302,101 Program Development and Motivational Tips for Football Coaches,,143
303,101 Quarterback Drills,,119
304,101 Quick Strike Inbound Plays,,120
305,101 Quirky Cricket Facts,,20
306,101 Quirky Football Facts,,21
307,101 Quotes For Athletes,Lessons in Leadership,10
308,101 Reasons to Love the Cowboys,,120
309,101 Reasons to Love the Packers,,120
310,101 Receiver Drills (Second Edition),,123
311,101 Rugby Quotes,,103
312,101 Sandbag Exercises,,151
313,101 Shotgun Wing-T Plays,,128
314,101 Single Wing Plays,,119
315,101 Special Teams Drills,,131
316,101 Split 4-4 Stunts,,164
317,101 Spread Offense Drills,,128
318,101 Steps to Win the World Cup,An Introduction to How to Play and Coach a World Class Soccer (Football) Team,206
319,101 Strength and Conditioning Exercises and Drills for Basketball,,122
320,101 Strength Training Workouts & Strategies,,176
321,101 Team Handball,,176
322,101 Things to Do at University,,105
323,101 Things You May Not Have Known About Baseball,,28
324,101 Things You May Not Have Known About Gaelic Football,,62
325,101 Things You May Not Have Known About Hurling,,45
326,101 Things You May Not Have Known About Liverpool,,32
327,101 Things You May Not Have Known About Man U,,29
328,101 Things You May Not Have Known About Snooker,,27
329,101 Things You May Not Have Known About the Boston Red Sox,,39
330,101 Things You May Not Have Known About the US Masters,,39
331,101 Things You May Not Have Known About World Wrestling,,38
332,101 Tips for New and Aspiring Head Football Coaches,,149
333,101 Ways to Be a Terrific Sports Parent,Making Athletics a Positive Experience for Your Child,256
334,101 Ways to Run the Option (2nd Edition),,138
335,101 Weak Eagle Stunts,,185
336,101 Western Dressage Exercises for Horse & Rider,,250
337,101 Wing-T from A to Z Plays,,115
338,101 Winning Defensive Line Drills,,144
339,101 Winning Football Drills: From the Legends of the Game,,262
340,101 Winning Offensive Line Drills,,122
341,101 Winning Racing Strategies for Runners,,95
342,101 Winning Special Teams Drills,,121
343,101 Women's Basketball Drills,,128
344,101 Workouts For Men,"Build Muscle, Lose Fat & Reach Your Fitness Goals Faster",176
345,101 Workouts For Women,"Everything You Need to Get a Lean, Strong, and Fit Physique",208
346,101 Youth Athletics Drills,,0
347,101 Youth Basketball Drills,,128
348,101 Youth Basketball Drills and Games,,202
349,101 Youth Fitness Drills Age 12-16,,0
350,101 Youth Fitness Drills Age 7-11,,0
351,101 Youth Football Drills,Age 7 to 11,128
352,101 Youth Football Drills,Age 12 to 16,0
353,101 Youth Football Plays,,124
354,101 Youth Hockey Drills,,0
355,101 Youth Netball Drills Age 12-16,,144
356,101 Youth Netball Drills Age 7-11,,144
357,101 Youth Rugby Drills,,0
358,101 Youth Tennis Drills,,0
359,101 Zone Offense Plays,,131
360,103 Hikes in Southwestern British Columbia,,256
361,109 Walks in British Columbia's Lower Mainland,,256
362,109 Walks in British Columbia's Lower Mainland,,272
363,10-Fold Origami,Fabulous Papeefolds You Can Make in Just 10 Steps,96
364,10-Minute and Executive Toughness,,208
365,10-Minute Toughness,The Mental Training Program for Winning Before the Game Begins,208
366,110 Per Cent,Great Australian Sport Speeches,320
367,112 Miles to the Pin,Extreme Golf Around the World,208
368,12 en la cancha,El partido de tu vida,0
369,12 Essentials of Concealed Carry,Basic tips to get started in safe and responsible concealed carry,0
370,120 Competitive Games and Exercises for Soccer,,241
371,120 Great Golf Courses in Australia and New Zealand,,216
372,120 Great Golf Courses in Australia and New Zealand,,264
373,125 Years of the British and Irish Lions,The Official History,0
374,1302 Winning Quotes for Coaches,,185
375,15 Minute Calorie Burn Workout,,130
376,150 anos de futebol,,316
377,150 anos de futebol - O jogo,,84
378,150 Dribbling Games for Soccer,,180
379,162-0: Imagine a Cubs Perfect Season,A Game-by-Game Anaylsis of the Greatest Wins in Cubs History,288
380,162-0: Imagine a Mets Perfect Season,A Game-by-Game Anaylsis of the Greatest Wins in Mets History,264
381,162-0: Imagine a Phillies Perfect Season,A Game-by-Game Anaylsis of the Greatest Wins in Phillies History,288
382,162-0: Imagine a Red Sox Perfect Season,The Greatest Wins!,304
383,162-0: Imagine a Twins Perfect Season,The Greatest Wins!,304
384,162-0: Imagine a Yankees Perfect Season,The Greatest Wins!,304
385,17 Golf Tips to Improve your Golf Scores and Avoid Golf Lessons,,17
386,17 Simple Golf Tips,,12
387,18 Game-Changing Lessons,Talking Golf with Legends and Pros,224
388,18 Greatest Irish Golf Holes - Full Photographic Edition,,145
389,18 Greatest Irish Golf Holes - Text Only Edition,,149
390,18 Greatest Scottish Golf Holes - Full Photographic Edition,,157
391,18 Greatest Scottish Golf Holes - Text Only Edition,,154
392,18 Holes with Bing,,0
393,18 Holes with Teddy Greenstein,"Teeing Up with Big Hitters, Hall of Famers and Legendary Talkers",169
394,18 in America,A Young Golfer's Epic Journey to Find the Essence of the Game,272
395,18 in America,A Young Golfer's Epic Journey to Find the Essence of the Game,224
396,18 Ways to Play a Better 18 Holes,Tips and Techniques from America's Best Club Professionals,144
397,180Â° South,Conquerors of the Useless,240
398,1927 New York Yankees,,150
399,1941 -- The Greatest Year In Sports,"Two Baseball Legends, Two Boxing Champs, and the Unstoppable Thoroughbred Who Made History in the Shadow of War",0
400,1954 -- A Baseball Season,,672
401,1961*,The Inside Story of the Maris-Mantle Home Run Chase,290
402,1967 Red Sox: The Impossible Dream Season,,128
403,1969 Miracle Mets,The Improbable Story of the World's Greatest Underdog Team,208
404,1970s Baseball:,"A History and Analysis of the Decade's Best Seasons, Teams, and Players",193
405,1975 Red Sox,American League Champions,128
406,1986 Masters,How Jack Nicklaus Roared Back to Win,176
407,19th Century Baseball in Chicago,,128
408,2 x 14 Achttausender,"Das Bergsteigerpaar Gerlinde Kaltenbrunner und Ralf Dujmovits erz??hlen offen von ihren gemeinsamen Besteigungen der ber??hmten Achttausender wie Mount Everest, K2 und ihren Gedanken bei der Bew??ligung dieser Gipfel im Himalaya",160
409,20 Day Trips in and around the Shawnee National Forest,,0
410,20 maggio Stadio Olimpico,Juventus 0 Napoli 2,55
411,"20,000 Leagues Under the Sea",,400
412,2005 Coach of the Year Clinics Football Manual,,288
413,2007 Coach of the Year Clinic Notes,Lectures by Premier High School Coaches,268
414,2007 Offensive Line Coaches Handbook,Featuring Lectures from the 2007 C.O.O.L. Clinic,90
415,2008 Coach of the Year Clinic Notes,,255
416,2008 Coach of the Year Clinics Football Manual,,271
417,2008 Offensive Line Coaches Handbook: Featuring Lectures From the 2008 C.O.O.L. Clinic,,95
418,2009 Coach of the Year Clinic Notes,,270
419,2009 Offensive Line Coaches Handbook: Featuring Lectures From the 2009 C.O.O.L. Clinic,,114
420,2010 Clinic Notes: Lectures by Premier High School Coaches,,259
421,2010 Coach of the Year Clinics Football Manual,,287
422,2010 Offensive Line Coaches Handbook: Featuring Lectures From the 2010 C.O.O.L. Clinic,,95
423,2010 Standard Catalog of Firearms,The Collector's Price and Reference Guide,1504
424,2011 Coach of the Year Clinics Football Manual,,295
425,2011 Offensive Line Coaches Handbook: Featuring Lectures From the 2011 C.O.O.L. Clinic,,112
426,2012 Baseball Preview,Changing the Way You Look at Baseball,71
427,2012 Coach of the Year Clinic Notes: Lectures by Premier High School Coaches,,259
428,2012 Coach of the Year Clinics Football Manual,,291
429,2012 Fantasy Football Draft Guide by The Fantasy Fix,,107
430,2012 Mets Annual,,191
431,2012 Survival Guide - Start Here,,23
432,2012-13 Chicago Bulls,"A Superstar's Setback, A Team Transformed",100
433,2012-2013 NCAA Women's Basketball Officials' Pregame Conference,,7
434,2013 Baseball Forecaster,And Encyclopedia of Fanalytics,304
435,2013 Fantasy Football Draft Guide by TheFantasyFix.com & RotoAnalysis.com,,76
436,2013 Fantasy Football Draft Kit,Presented by FFLockerRoom.com,0
437,2013 Fantasy Funny Football Draft Guide,,70
438,2013 JR Golf Lesson Plans,A Guide to the Cirriculum,46
439,2013 Longhorn Football Prospectus: Thinking Texas Football,,149
440,2013 Professional Baseball Umpire Corp. Umpire Manual,,224
441,2013: A Tribute to Sir Alex Ferguson,The Inside Story of Each of Manchester United's League Titles,451
442,2013-14 Basketball Rules Book,,140
443,2013-14 NFHS Basketball Case Book,,207
444,2013-14 Soccer Rules Book,,130
